No.,Time,Source,Destination,Protocol,Length,Info
106,107.878753,157.240.214.60,10.0.2.15,TLS,2761,
107,108.071035,157.240.214.60,10.0.2.15,TLS,148,
108,108.170409,157.240.214.60,10.0.2.15,TLS,147,
109,108.194292,10.0.2.15,157.240.214.60,TLS,129,
110,108.262256,10.0.2.15,157.240.214.60,TLS,147,
111,108.289423,10.0.2.15,157.240.214.60,TLS,146,
112,108.386851,157.240.214.60,10.0.2.15,TLS,1060,
113,108.431689,10.0.2.15,157.240.214.60,TLS,146,
114,121.044559,157.240.214.60,10.0.2.15,TLS,1459,
115,121.09614,157.240.214.60,10.0.2.15,TLS,149,
116,121.147254,10.0.2.15,157.240.214.60,TLS,148,
117,121.416361,10.0.2.15,157.240.214.60,TLS,150,
118,124.928375,157.240.214.60,10.0.2.15,TLS,203,
119,124.934229,10.0.2.15,157.240.214.60,TLS,146,
120,126.558537,157.240.214.60,10.0.2.15,TLS,173,
121,126.563556,10.0.2.15,157.240.214.60,TLS,147,
122,128.281428,157.240.214.60,10.0.2.15,TLS,193,
123,128.286347,10.0.2.15,157.240.214.60,TLS,150,
124,129.543577,157.240.214.60,10.0.2.15,TLS,195,
125,129.548212,10.0.2.15,157.240.214.60,TLS,154,
126,130.166733,157.240.214.60,10.0.2.15,TLS,174,
127,130.173179,10.0.2.15,157.240.214.60,TLS,149,
128,131.364087,157.240.214.60,10.0.2.15,TLS,151,
129,131.370499,10.0.2.15,157.240.214.60,TLS,149,
130,135.076666,10.0.2.15,157.240.214.60,TLS,124,
131,135.2696,157.240.214.60,10.0.2.15,TLS,126,
132,136.614075,157.240.214.60,10.0.2.15,TLS,1446,
133,136.617545,157.240.214.60,10.0.2.15,TLS,150,
134,136.773912,157.240.214.60,10.0.2.15,TLS,148,
135,136.861471,10.0.2.15,157.240.214.60,TLS,147,
136,136.863752,10.0.2.15,157.240.214.60,TLS,146,
137,137.083071,157.240.214.60,10.0.2.15,TLS,147,
138,137.138821,10.0.2.15,157.240.214.60,TLS,146,
139,143.097165,157.240.214.60,10.0.2.15,TLS,1206,
140,143.26567,10.0.2.15,157.240.214.60,TLS,147,
141,143.293038,157.240.214.60,10.0.2.15,TLS,148,
142,143.384083,157.240.214.60,10.0.2.15,TLS,147,
143,143.410269,10.0.2.15,157.240.214.60,TLS,146,
144,143.426005,10.0.2.15,157.240.214.60,TLS,146,
145,147.123114,157.240.214.60,10.0.2.15,TLS,1446,
146,147.179032,157.240.214.60,10.0.2.15,TLS,2901,
147,147.19628,10.0.2.15,157.240.214.60,TLS,148,
148,147.42454,10.0.2.15,157.240.214.60,TLS,150,
149,149.232086,157.240.214.60,10.0.2.15,TLS,177,
150,149.240347,10.0.2.15,157.240.214.60,TLS,152,
151,150.917777,157.240.214.60,10.0.2.15,TLS,195,
152,150.92281,10.0.2.15,157.240.214.60,TLS,154,
153,151.057109,157.240.214.60,10.0.2.15,TLS,1446,
154,151.057824,157.240.214.60,10.0.2.15,TLS,252,
155,151.254046,157.240.214.60,10.0.2.15,TLS,148,
156,151.300652,10.0.2.15,157.240.214.60,TLS,147,
157,151.317464,157.240.214.60,10.0.2.15,TLS,147,
158,151.327215,10.0.2.15,157.240.214.60,TLS,146,
159,151.458643,10.0.2.15,157.240.214.60,TLS,146,
160,156.211955,10.0.2.15,157.240.214.60,TLS,124,
161,156.401067,157.240.214.60,10.0.2.15,TLS,126,
162,160.81231,157.240.214.60,10.0.2.15,TLS,1446,
163,160.813388,157.240.214.60,10.0.2.15,TLS,70,
164,160.970361,10.0.2.15,157.240.214.60,TLS,147,
165,160.999058,157.240.214.60,10.0.2.15,TLS,148,
166,161.061772,10.0.2.15,157.240.214.60,TLS,146,
167,161.153763,157.240.214.60,10.0.2.15,TLS,147,
168,161.213443,10.0.2.15,157.240.214.60,TLS,146,
169,163.614416,157.240.214.60,10.0.2.15,TLS,174,
170,163.671876,10.0.2.15,157.240.214.60,TLS,149,
171,166.092961,157.240.214.60,10.0.2.15,TLS,177,
172,166.106888,10.0.2.15,157.240.214.60,TLS,152,
173,169.13435,157.240.214.60,10.0.2.15,TLS,1446,
174,169.135243,157.240.214.60,10.0.2.15,TLS,236,
175,169.331704,157.240.214.60,10.0.2.15,TLS,148,
176,169.45992,157.240.214.60,10.0.2.15,TLS,147,
177,169.532453,10.0.2.15,157.240.214.60,TLS,147,
178,169.540782,10.0.2.15,157.240.214.60,TLS,146,
179,169.688446,10.0.2.15,157.240.214.60,TLS,146,
180,174.187606,157.240.214.60,10.0.2.15,TLS,1395,
181,174.348034,157.240.214.60,10.0.2.15,TLS,188,
182,174.383802,10.0.2.15,157.240.214.60,TLS,124,
183,174.387021,10.0.2.15,157.240.214.60,TLS,150,
184,174.61409,157.240.214.60,10.0.2.15,TLS,126,
185,174.65579,10.0.2.15,157.240.214.60,TLS,148,
186,176.438318,157.240.214.60,10.0.2.15,TLS,173,
187,176.448505,10.0.2.15,157.240.214.60,TLS,147,
188,179.664362,157.240.214.60,10.0.2.15,TLS,186,
189,179.725784,10.0.2.15,157.240.214.60,TLS,127,
190,184.124347,157.240.214.60,10.0.2.15,TLS,1446,
191,184.124838,157.240.214.60,10.0.2.15,TLS,284,
192,184.313528,157.240.214.60,10.0.2.15,TLS,195,
193,184.320105,157.240.214.60,10.0.2.15,TLS,148,
194,184.595092,157.240.214.60,10.0.2.15,TLS,147,
195,184.616388,10.0.2.15,157.240.214.60,TLS,154,
196,184.618474,10.0.2.15,157.240.214.60,TLS,146,
197,184.646355,10.0.2.15,157.240.214.60,TLS,147,
198,184.970265,10.0.2.15,157.240.214.60,TLS,146,
199,197.038655,10.0.2.15,157.240.214.60,TLS,124,
200,197.224629,157.240.214.60,10.0.2.15,TLS,193,
201,197.229752,10.0.2.15,157.240.214.60,TLS,150,
202,197.232221,157.240.214.60,10.0.2.15,TLS,126,
203,199.036641,157.240.214.60,10.0.2.15,TLS,1446,
204,199.0377,157.240.214.60,10.0.2.15,TLS,268,
205,199.229237,157.240.214.60,10.0.2.15,TLS,148,
206,199.304353,10.0.2.15,157.240.214.60,TLS,147,
207,199.340281,157.240.214.60,10.0.2.15,TLS,147,
208,199.430618,10.0.2.15,157.240.214.60,TLS,146,
209,199.594309,10.0.2.15,157.240.214.60,TLS,146,
210,200.340575,157.240.214.60,10.0.2.15,TLS,352,
211,200.40619,10.0.2.15,157.240.214.60,TLS,149,
212,200.53045,10.0.2.15,157.240.214.60,TLS,127,
