No.,Time,Source,Destination,Protocol,Length,Info
106,88.496602,157.240.214.60,10.0.2.15,TLS,149,
107,88.500409,10.0.2.15,157.240.214.60,TLS,148,
108,88.780703,157.240.214.60,10.0.2.15,TLS,1446,
109,88.782066,157.240.214.60,10.0.2.15,TLS,345,
110,88.918173,10.0.2.15,157.240.214.60,TLS,150,
111,89.143896,157.240.214.60,10.0.2.15,TLS,195,
112,89.183829,10.0.2.15,157.240.214.60,TLS,154,
113,91.014428,157.240.214.60,10.0.2.15,TLS,241,
114,91.062947,10.0.2.15,157.240.214.60,TLS,126,
115,91.357516,157.240.214.60,10.0.2.15,TLS,149,
116,91.366577,10.0.2.15,157.240.214.60,TLS,148,
117,91.55667,157.240.214.60,10.0.2.15,TLS,149,
118,91.569464,10.0.2.15,157.240.214.60,TLS,148,
119,95.186025,10.0.2.15,157.240.214.60,TLS,93,
120,95.186905,10.0.2.15,157.240.214.60,TLS,78,
121,95.263622,157.240.214.60,10.0.2.15,TLS,78,
122,95.970141,157.240.214.60,10.0.2.15,TLS,1399,
123,96.160304,157.240.214.60,10.0.2.15,TLS,150,
124,96.162575,157.240.214.60,10.0.2.15,TLS,148,
125,96.379528,157.240.214.60,10.0.2.15,TLS,147,
126,96.397127,10.0.2.15,157.240.214.60,TLS,148,
127,96.414065,10.0.2.15,157.240.214.60,TLS,147,
128,96.595239,10.0.2.15,157.240.214.60,TLS,146,
129,96.598654,10.0.2.15,157.240.214.60,TLS,146,
130,102.332468,157.240.214.60,10.0.2.15,TLS,176,
131,102.350518,10.0.2.15,157.240.214.60,TLS,152,
132,106.251259,157.240.214.60,10.0.2.15,TLS,1446,
133,106.312807,157.240.214.60,10.0.2.15,TLS,221,
134,106.448067,157.240.214.60,10.0.2.15,TLS,150,
135,106.448068,157.240.214.60,10.0.2.15,TLS,148,
136,106.649531,157.240.214.60,10.0.2.15,TLS,147,
137,106.655498,10.0.2.15,157.240.214.60,TLS,148,
138,106.662783,10.0.2.15,157.240.214.60,TLS,147,
139,106.808349,10.0.2.15,157.240.214.60,TLS,146,
140,106.808706,10.0.2.15,157.240.214.60,TLS,146,
141,107.7607,157.240.214.60,10.0.2.15,TLS,158,
142,107.812864,10.0.2.15,157.240.214.60,TLS,133,
143,110.164496,10.0.2.15,157.240.214.60,TLS,124,
144,110.353864,157.240.214.60,10.0.2.15,TLS,126,
145,111.154831,157.240.214.60,10.0.2.15,TLS,1446,
146,111.156657,157.240.214.60,10.0.2.15,TLS,175,
147,111.156657,157.240.214.60,10.0.2.15,TLS,1446,
148,111.156657,157.240.214.60,10.0.2.15,TLS,1257,
149,111.160991,157.240.214.60,10.0.2.15,TLS,1446,
150,111.160991,157.240.214.60,10.0.2.15,TLS,1446,
151,111.160991,157.240.214.60,10.0.2.15,TLS,453,
152,111.160991,157.240.214.60,10.0.2.15,TLS,1446,
153,111.162196,157.240.214.60,10.0.2.15,TLS,1257,
154,111.166031,157.240.214.60,10.0.2.15,TLS,1446,
