No.,Time,Source,Destination,Protocol,Length,Info
105,30.562834,157.240.214.60,10.0.2.15,TCP,1446,
106,30.568452,157.240.214.60,10.0.2.15,TCP,1446,
107,30.568453,157.240.214.60,10.0.2.15,TCP,1446,
108,30.571442,157.240.214.60,10.0.2.15,TCP,1446,
109,30.574391,157.240.214.60,10.0.2.15,TLS,1446,
110,30.57673,157.240.214.60,10.0.2.15,TLS,1446,
111,30.5774,157.240.214.60,10.0.2.15,TLS,325,
112,31.337407,157.240.214.60,10.0.2.15,TLS,771,
113,31.506896,10.0.2.15,157.240.214.60,TLS,316,
114,31.552928,10.0.2.15,157.240.214.60,TLS,150,
115,31.581874,157.240.214.60,10.0.2.15,TLS,89,
116,31.651915,10.0.2.15,157.240.214.60,TLS,162,
117,31.657604,157.240.214.60,10.0.2.15,TLS,350,
118,31.664287,157.240.214.60,10.0.2.15,TLS,1446,
119,31.66646,157.240.214.60,10.0.2.15,TLS,2838,
120,31.66646,157.240.214.60,10.0.2.15,TCP,1446,
121,31.66646,157.240.214.60,10.0.2.15,TCP,1446,
122,31.668478,157.240.214.60,10.0.2.15,TCP,1446,
123,31.669935,157.240.214.60,10.0.2.15,TCP,1446,
124,31.669936,157.240.214.60,10.0.2.15,TCP,1446,
125,31.672862,157.240.214.60,10.0.2.15,TCP,1446,
126,31.673658,157.240.214.60,10.0.2.15,TCP,1446,
127,31.67774,157.240.214.60,10.0.2.15,TCP,1446,
128,31.67861,157.240.214.60,10.0.2.15,TLS,1446,
129,31.681306,157.240.214.60,10.0.2.15,TLS,1446,
130,31.681306,157.240.214.60,10.0.2.15,TCP,1446,
131,31.684932,157.240.214.60,10.0.2.15,TLS,1446,
132,31.685798,157.240.214.60,10.0.2.15,TCP,1446,
133,31.690049,157.240.214.60,10.0.2.15,TCP,1446,
134,31.690049,157.240.214.60,10.0.2.15,TLS,1446,
135,31.693925,157.240.214.60,10.0.2.15,TLS,972,
136,31.711091,157.240.214.60,10.0.2.15,TLS,195,
137,31.749711,10.0.2.15,157.240.214.60,TLS,154,
138,31.840004,157.240.214.60,10.0.2.15,TLS,149,
139,33.601087,157.240.214.60,10.0.2.15,TLS,839,
140,33.769187,10.0.2.15,157.240.214.60,TLS,315,
141,33.789413,157.240.214.60,10.0.2.15,TLS,148,
142,33.813618,10.0.2.15,157.240.214.60,TLS,147,
143,33.847901,157.240.214.60,10.0.2.15,TLS,89,
144,33.851906,10.0.2.15,157.240.214.60,TLS,146,
145,33.892705,157.240.214.60,10.0.2.15,TLS,1446,
146,33.894373,157.240.214.60,10.0.2.15,TLS,1446,
147,33.894373,157.240.214.60,10.0.2.15,TLS,1446,
148,33.895839,157.240.214.60,10.0.2.15,TLS,1446,
149,33.898543,157.240.214.60,10.0.2.15,TLS,1446,
150,33.900218,157.240.214.60,10.0.2.15,TLS,332,
151,33.933252,157.240.214.60,10.0.2.15,TLS,149,
152,33.962159,10.0.2.15,157.240.214.60,TLS,148,
153,34.795698,157.240.214.60,10.0.2.15,TLS,133,
154,35.618363,10.0.2.15,157.240.214.60,TLS,315,
155,35.693258,157.240.214.60,10.0.2.15,TLS,89,
156,35.80607,157.240.214.60,10.0.2.15,TLS,347,
157,35.80607,157.240.214.60,10.0.2.15,TLS,1446,
158,35.808077,157.240.214.60,10.0.2.15,TLS,421,
159,35.808077,157.240.214.60,10.0.2.15,TLS,85,
160,36.504411,157.240.214.60,10.0.2.15,TLS,176,
161,36.555986,10.0.2.15,157.240.214.60,TLS,152,
162,37.89569,157.240.214.60,10.0.2.15,TLS,134,
163,42.879627,10.0.2.15,157.240.214.60,TLS,241,
164,42.880025,10.0.2.15,157.240.214.60,TLS,428,
165,42.880102,10.0.2.15,157.240.214.60,TLS,241,
166,43.086699,157.240.214.60,10.0.2.15,TLS,290,
167,43.097242,157.240.214.60,10.0.2.15,TLS,284,
168,43.099554,157.240.214.60,10.0.2.15,TLS,294,
169,43.104443,157.240.214.60,10.0.2.15,TLS,272,
170,44.931243,157.240.214.60,10.0.2.15,TLS,131,
171,46.445992,157.240.214.60,10.0.2.15,TLS,771,
172,46.761261,157.240.214.60,10.0.2.15,TLS,195,
173,47.341035,157.240.214.60,10.0.2.15,TLS,133,
174,47.559727,10.0.2.15,157.240.214.60,TLS,162,
175,47.748937,157.240.214.60,10.0.2.15,TLS,149,
176,47.829241,10.0.2.15,157.240.214.60,TLS,154,
177,47.859883,10.0.2.15,157.240.214.60,TLS,314,
178,47.936948,157.240.214.60,10.0.2.15,TLS,89,
179,47.956478,157.240.214.60,10.0.2.15,TLS,1446,
180,47.964415,157.240.214.60,10.0.2.15,TLS,1446,
181,47.964416,157.240.214.60,10.0.2.15,TLS,2838,
182,47.964416,157.240.214.60,10.0.2.15,TCP,1446,
183,47.967054,157.240.214.60,10.0.2.15,TCP,1446,
184,47.96864,157.240.214.60,10.0.2.15,TCP,1446,
185,47.968641,157.240.214.60,10.0.2.15,TCP,1446,
186,47.973461,157.240.214.60,10.0.2.15,TCP,1446,
187,47.975894,157.240.214.60,10.0.2.15,TCP,2838,
