No.,Time,Source,Destination,Protocol,Length,Info
106,44.140998,10.0.2.15,157.240.214.60,TLS,149,
107,47.073525,157.240.214.60,10.0.2.15,TLS,193,
108,47.080732,10.0.2.15,157.240.214.60,TLS,150,
109,47.748441,10.0.2.15,157.240.214.60,TLS,285,
110,47.97011,157.240.214.60,10.0.2.15,TLS,165,
111,48.150499,157.240.214.60,10.0.2.15,TLS,149,
112,48.157973,10.0.2.15,157.240.214.60,TLS,147,
113,48.708368,157.240.214.60,10.0.2.15,TLS,150,
114,48.859138,10.0.2.15,157.240.214.60,TLS,149,
115,49.759707,157.240.214.60,10.0.2.15,TLS,131,
116,50.694464,157.240.214.60,10.0.2.15,TLS,318,
117,50.695652,157.240.214.60,10.0.2.15,TLS,151,
118,50.719171,10.0.2.15,157.240.214.60,TLS,149,
119,51.401301,10.0.2.15,157.240.214.60,TLS,150,
120,51.614587,10.0.2.15,157.240.214.60,TLS,162,
121,51.743166,157.240.214.60,10.0.2.15,TLS,131,
122,51.802727,157.240.214.60,10.0.2.15,TLS,149,
123,51.868136,157.240.214.60,10.0.2.15,TLS,151,
124,51.87409,10.0.2.15,157.240.214.60,TLS,150,
125,51.876492,157.240.214.60,10.0.2.15,TLS,151,
126,51.879354,10.0.2.15,157.240.214.60,TLS,150,
127,53.272185,157.240.214.60,10.0.2.15,TLS,318,
128,53.637515,10.0.2.15,157.240.214.60,TLS,150,
129,53.845976,10.0.2.15,157.240.214.60,TLS,162,
130,54.0332,157.240.214.60,10.0.2.15,TLS,149,
131,55.859674,10.0.2.15,157.240.214.60,TLS,124,
132,57.196284,157.240.214.60,10.0.2.15,TLS,131,
133,58.87211,10.0.2.15,157.240.214.60,TLS,269,
134,58.929654,10.0.2.15,157.240.214.60,TLS,124,
135,59.000126,157.240.214.60,10.0.2.15,TLS,318,
136,59.149381,157.240.214.60,10.0.2.15,TLS,165,
137,59.330375,157.240.214.60,10.0.2.15,TLS,149,
138,59.519984,10.0.2.15,157.240.214.60,TLS,150,
139,59.608263,157.240.214.60,10.0.2.15,TLS,150,
140,59.892888,10.0.2.15,157.240.214.60,TLS,147,
141,59.897323,10.0.2.15,157.240.214.60,TLS,162,
142,59.899147,10.0.2.15,157.240.214.60,TLS,149,
143,60.093088,157.240.214.60,10.0.2.15,TLS,149,
144,60.306603,157.240.214.60,10.0.2.15,TLS,151,
145,60.311277,10.0.2.15,157.240.214.60,TLS,150,
146,61.651831,157.240.214.60,10.0.2.15,TLS,131,
147,63.086997,157.240.214.60,10.0.2.15,TLS,318,
148,63.843618,10.0.2.15,157.240.214.60,TLS,124,
149,63.849878,10.0.2.15,157.240.214.60,TLS,150,
150,64.150668,10.0.2.15,157.240.214.60,TLS,162,
151,64.188077,10.0.2.15,157.240.214.60,TLS,269,
152,64.34226,157.240.214.60,10.0.2.15,TLS,149,
153,64.472863,157.240.214.60,10.0.2.15,TLS,165,
154,64.651564,157.240.214.60,10.0.2.15,TLS,149,
155,64.66853,10.0.2.15,157.240.214.60,TLS,147,
156,64.764588,157.240.214.60,10.0.2.15,TLS,150,
157,64.777058,10.0.2.15,157.240.214.60,TLS,149,
158,65.917894,157.240.214.60,10.0.2.15,TLS,151,
159,65.927488,10.0.2.15,157.240.214.60,TLS,150,
160,66.881536,157.240.214.60,10.0.2.15,TLS,131,
161,68.573006,157.240.214.60,10.0.2.15,TLS,177,
162,68.581369,10.0.2.15,157.240.214.60,TLS,152,
163,68.703853,157.240.214.60,10.0.2.15,TLS,334,
164,68.976373,10.0.2.15,157.240.214.60,TLS,150,
165,69.196595,10.0.2.15,157.240.214.60,TLS,162,
166,69.387595,157.240.214.60,10.0.2.15,TLS,149,
167,72.198432,157.240.214.60,10.0.2.15,TLS,131,
168,73.787594,10.0.2.15,157.240.214.60,TLS,124,
169,74.326844,157.240.214.60,10.0.2.15,TLS,334,
170,74.606203,10.0.2.15,157.240.214.60,TLS,150,
171,74.767359,10.0.2.15,157.240.214.60,TLS,162,
172,74.924131,157.240.214.60,10.0.2.15,TLS,131,
173,74.95856,157.240.214.60,10.0.2.15,TLS,149,
174,75.922785,10.0.2.15,157.240.214.60,TLS,124,
175,77.336094,10.0.2.15,157.240.214.60,TLS,124,
176,77.637677,157.240.214.60,10.0.2.15,TLS,334,
177,77.890168,157.240.214.60,10.0.2.15,TLS,131,
178,77.916734,10.0.2.15,157.240.214.60,TLS,150,
179,78.160896,10.0.2.15,157.240.214.60,TLS,162,
180,78.353703,157.240.214.60,10.0.2.15,TLS,149,
181,81.950106,157.240.214.60,10.0.2.15,TLS,334,
182,82.124728,157.240.214.60,10.0.2.15,TLS,131,
183,82.508368,10.0.2.15,157.240.214.60,TLS,150,
184,82.854112,10.0.2.15,157.240.214.60,TLS,162,
185,82.933589,157.240.214.60,10.0.2.15,TLS,318,
186,83.045983,157.240.214.60,10.0.2.15,TLS,149,
187,83.792925,10.0.2.15,157.240.214.60,TLS,150,
188,83.896053,157.240.214.60,10.0.2.15,TLS,131,
189,84.408214,10.0.2.15,157.240.214.60,TLS,124,
190,84.420308,10.0.2.15,157.240.214.60,TLS,301,
191,84.667734,157.240.214.60,10.0.2.15,TLS,165,
192,84.843718,157.240.214.60,10.0.2.15,TLS,149,
193,84.879651,10.0.2.15,157.240.214.60,TLS,147,
194,84.915276,157.240.214.60,10.0.2.15,TLS,150,
195,84.955494,10.0.2.15,157.240.214.60,TLS,149,
196,86.390808,157.240.214.60,10.0.2.15,TLS,334,
197,86.615124,10.0.2.15,157.240.214.60,TLS,162,
198,86.804797,157.240.214.60,10.0.2.15,TLS,149,
199,86.984689,10.0.2.15,157.240.214.60,TLS,253,
200,87.323525,157.240.214.60,10.0.2.15,TLS,165,
201,87.324503,10.0.2.15,157.240.214.60,TLS,150,
202,87.328818,10.0.2.15,157.240.214.60,TLS,162,
203,87.501249,157.240.214.60,10.0.2.15,TLS,149,
204,87.517477,157.240.214.60,10.0.2.15,TLS,149,
205,87.568592,157.240.214.60,10.0.2.15,TLS,151,
206,87.64241,10.0.2.15,157.240.214.60,TLS,147,
207,87.646345,10.0.2.15,157.240.214.60,TLS,150,
208,87.768369,157.240.214.60,10.0.2.15,TLS,150,
